name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Peruvian Frequencies,"MatchMyFreq Society Presents: Peruvian Frequencies Come celebrate Peruvian Independence Day with us for a night of music, community, and connection <3 Featuring an all-Peruvian DJ lineup showcasing local talent across house, techno, and more. Each DJ brings their own unique style and energy, creating a night of different frequencies to experience. Come solo, bring your friends, meet new people, and support local Peruvian DJs as we celebrate through music! Free Entry. Let's Party! 6PM-12AM",The Rose,40.74,-73.99,"160 W 25th St, New York, NY 10001",2026-07-27T18:00:00.000,2026-07-28T00:00:00.000,new york city,Music,"shirlz,Adesi,Henry.Internet,vivaval,Yung Keaz",https://images.ra.co/0f4d34eec732df874ab26f2779f7c78ba96e6ba8.png,,https://ra.co/events/2489220,true
CMPLTLYGONE X STRUCTURE,Structure NYC invites B-SiiDE (@bsiide_) for an ambient and minimal techno set followed by Megan Rosengarten (@megan.rosengarten) stepping in with stripped-back techno and electro brought onboard by CMPLTLYGONE. Respective organizers Aleska (@aleskaecho) brings a moody & dreamy techno set and Wren’s Lullaby (@wren1slullaby) with spooky techno closing.,Bossa Nova Civic Club,40.697974,-73.927965,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",2026-07-27T22:00:00.000,2026-07-28T04:00:00.000,new york city,Music,"B-SiiDE,Megan Rosengarten,Aleska,Wren's Lullaby",https://images.ra.co/ed7977c277dc997fa2d891ce2b7c3661cf1d8000.jpg,,https://ra.co/events/2484229,false
Happy Hour w nataliepops,"Free Come enjoy happy hour at Bossa with nataliepops Downtempo, house, minimal, dream pop, whatever",Bossa Nova Civic Club,40.697974,-73.927965,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",2026-07-27T19:00:00.000,2026-07-28T22:00:00.000,new york city,Music,nataliepops,https://images.ra.co/17eb04d0a10bbff8bded3d6f50167d6a7fc1c837.png,,https://ra.co/events/2496146,false
